             * c:\users\91809\esim-workspace\2bit_dac\2bit_dac.cir
             Transient Analysis  Thu Sep 29 14:43:03  2022
--------------------------------------------------------------------------------
Index   time            vd0#branch      vd1#branch      vdd#branch      
--------------------------------------------------------------------------------
0	0.000000e+00	0.000000e+00	0.000000e+00	-3.30000e-03	
1	1.000000e-14	-1.23945e-02	-6.06057e-03	9.150999e-03	
2	2.000000e-14	-1.34726e-02	-6.65146e-03	1.041757e-02	
3	4.000000e-14	-1.44761e-02	-7.18135e-03	1.177555e-02	
4	8.000000e-14	-1.46215e-02	-7.24024e-03	1.239466e-02	
5	1.600000e-13	-1.49279e-02	-7.40042e-03	1.273792e-02	
6	3.200000e-13	-1.61753e-02	-8.00582e-03	1.336151e-02	
7	6.400000e-13	-1.77927e-02	-8.83407e-03	1.471048e-02	
8	1.000000e-12	-1.66206e-02	-8.22484e-03	1.416328e-02	
9	1.064000e-12	-1.38968e-03	-7.36549e-04	-7.48016e-04	
10	1.192000e-12	3.361265e-04	2.097556e-04	-4.61276e-03	
11	1.448000e-12	-4.66084e-04	-2.52470e-04	-2.92719e-03	
12	1.960000e-12	1.859440e-04	1.083508e-04	-4.05244e-03	
13	2.984000e-12	-3.69991e-04	-2.11264e-04	-3.01419e-03	
14	5.032000e-12	1.762881e-04	1.005355e-04	-3.92896e-03	
15	9.128000e-12	-3.39879e-04	-1.93378e-04	-2.98093e-03	
16	1.732000e-11	1.906426e-04	1.103441e-04	-3.84957e-03	
17	3.370400e-11	-3.11719e-04	-1.74309e-04	-2.94805e-03	
18	6.647200e-11	2.466590e-04	1.431648e-04	-3.91403e-03	
19	1.320080e-10	-2.56860e-04	-1.47913e-04	-3.00416e-03	
20	1.974486e-10	2.504379e-04	1.449303e-04	-4.03207e-03	
21	3.151124e-10	-2.55511e-04	-1.47028e-04	-3.12920e-03	
22	4.167413e-10	2.479092e-04	1.443505e-04	-3.87306e-03	
23	5.249020e-10	-2.54052e-04	-1.48048e-04	-2.94714e-03	
